#Tax Id	C1	C2	C3	C4	C5	C6	T1	T2	T3	T4	T5	T6
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_hallii	0.190303	0.251004	0.077485	0.203276	0.569776	0.237953	0.203308	0.059120	0.041912	0.327009	0.246322	0.205557
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__[Ruminococcus]_torques	0.192758	0.300260	0.075369	0.147729	0.635300	0.315926	0.198672	0.052267	0.057055	0.313893	0.246395	0.188284
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_denticola	0.972727	0.488465	0.265182	0.806388	0.444865	0.688126	0.665070	0.424221	0.036251	0.268682	0.634292	0.266628
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii	0.247623	0.166242	0.125250	0.085129	0.140799	0.087851	0.198672	0.140984	0.117147	0.228042	0.315712	0.191538
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	0.273148	0.270258	0.082587	0.084897	0.079630	0.204416	0.403058	0.253863	0.370132	0.177697	0.274740	0.176497
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa	3.046252	1.238820	2.266717	0.099313	0.115947	0.078145	1.001359	1.015113	1.780250	0.107811	0.960596	0.538441
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_communis	0.195188	0.128202	0.085060	0.076267	0.104227	0.077992	0.158676	0.117995	0.056042	0.153518	0.212019	0.142509
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_sp	0.151479	0.164975	0.065856	0.089754	0.194975	0.118121	0.145355	0.073892	0.030906	0.288621	0.157169	0.194049
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_sp	0.211621	0.193570	0.079557	0.171705	0.148674	0.197401	0.266518	0.175388	0.031646	0.092210	0.249558	0.165106
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii	0.183510	0.139400	0.103150	0.071410	0.125698	0.074205	0.145715	0.111590	0.082518	0.223670	0.265422	0.169569
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_suis	0.389958	0.617101	0.219355	0.114995	0.094453	0.153581	0.376252	0.102072	0.051187	0.486721	0.066153	0.248867
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_dispar	0.130787	0.110093	0.067148	0.069292	0.105362	0.073283	0.121456	0.098651	0.029872	0.113806	0.373014	0.108567
